game 1, tick 1: sent board, bot=D, enemy=D
game 1, tick 2: sent board, bot=D, enemy=D
game 1, tick 3: sent board, bot=D, enemy=R
game 1, tick 4: sent board, bot=D, enemy=D
game 1, tick 5: sent board, bot=R, enemy=R
game 1, tick 6: sent board, bot=U, enemy=D
game 1, tick 7: sent board, bot=U, enemy=U
game 1, tick 8: sent board, bot=R, enemy=D
game 1, tick 9: sent board, bot=U, enemy=D
game 1, tick 10: sent board, bot=L, enemy=R
game 1, tick 11: sent board, bot=L, enemy=R
game 1, tick 12: sent board, bot=L, enemy=R
game 1, tick 13: sent board, bot=L, enemy=R
game 1, tick 14: sent board, bot=L, enemy=R
game 1, tick 15: sent board, bot=L, enemy=R
game 1, tick 16: sent board, bot=D, enemy=R
game 1, tick 17: sent board, bot=D, enemy=R
game 1, tick 18: sent board, bot=D, enemy=R
game 1, tick 19: sent board, bot=D, enemy=R
game 1, tick 20: sent board, bot=L, enemy=R
game 1, tick 21: sent board, bot=L, enemy=D
game 1, tick 22: sent board, bot=L, enemy=L
game 1, tick 23: sent board, bot=U, enemy=L
game 1, tick 24: sent board, bot=U, enemy=L
game 1, tick 25: sent board, bot=U, enemy=U
game 1, tick 26: sent board, bot=L, enemy=U
game 1, tick 27: sent board, bot=U, enemy=U
game 1, tick 28: sent board, bot=R, enemy=U
game 1, tick 29: sent board, bot=R, enemy=U
game 1, tick 30: sent board, bot=S, enemy=S
game 1, tick 31: sent board, bot=S, enemy=S
game 1, tick 32: sent board, bot=S, enemy=S
game 1, tick 33: sent board, bot=S, enemy=S
game 1, tick 34: sent board, bot=S, enemy=S
game 1, tick 35: sent board, bot=S, enemy=S
game 1, tick 36: sent board, bot=S, enemy=S
game 1, tick 37: sent board, bot=S, enemy=S
game 1, tick 38: sent board, bot=S, enemy=S
game 1, tick 39: sent board, bot=S, enemy=S
game 1, tick 40: sent board, bot=S, enemy=S
game 1, tick 41: sent board, bot=S, enemy=S
game 1, tick 42: sent board, bot=S, enemy=S
game 1, tick 43: sent board, bot=S, enemy=S
game 1, tick 44: sent board, bot=S, enemy=S
game 1, tick 45: sent board, bot=S, enemy=S
game 1, tick 46: sent board, bot=S, enemy=S
game 1, tick 47: sent board, bot=S, enemy=S
game 1, tick 48: sent board, bot=S, enemy=S
game 1, tick 49: sent board, bot=S, enemy=S
game 1, tick 50: sent board, bot=S, enemy=S
game 1, tick 51: sent board, bot=S, enemy=S
game 1, tick 52: sent board, bot=S, enemy=S
game 1, tick 53: sent board, bot=S, enemy=S
game 1, tick 54: sent board, bot=S, enemy=S
game 1, tick 55: sent board, bot=S, enemy=S
game 1, tick 56: sent board, bot=S, enemy=S
game 1, tick 57: sent board, bot=S, enemy=S
game 1, tick 58: sent board, bot=S, enemy=S
game 1, tick 59: sent board, bot=S, enemy=S
game 1, tick 60: sent board, bot=S, enemy=S
game 1, tick 61: sent board, bot=S, enemy=S
game 1, tick 62: sent board, bot=S, enemy=S
game 1, tick 63: sent board, bot=S, enemy=S
game 1, tick 64: sent board, bot=S, enemy=S
game 1, tick 65: sent board, bot=S, enemy=S
game 1, tick 66: sent board, bot=S, enemy=S
game 1, tick 67: sent board, bot=S, enemy=S
game 1, tick 68: sent board, bot=S, enemy=S
game 1, tick 69: sent board, bot=S, enemy=S
